email,date_sent,follow_up_date
2025-06-16 02:37:17,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:37:55,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:40:32,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:41:12,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:46:17,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:46:51,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:50:56,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 02:51:54,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:49:18,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:49:54,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:55:59,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:56:31,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:58:01,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 09:58:45,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:04:08,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:04:43,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:06:00,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:06:36,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:13:22,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:14:40,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:18:11,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:18:52,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:24:40,Recruiter,Google,google-candidatedsdh-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
2025-06-16 10:25:17,Recruiter,Google,candidate-intdsfdserview-support@google.com,Application for Full-Stack Developer at Google | Resume Attached
